School,Conf,,,,,,,,,,,,,,
Clemson,ACC (Atlantic),,,,,,,,,,,,,,
North Carolina State,ACC (Atlantic),,,,,,,,,,,,,,
Louisville,ACC (Atlantic),,,,,,,,,,,,,,
Wake Forest,ACC (Atlantic),,,,,,,,,,,,,,
Boston College,ACC (Atlantic),,,,,,,,,,,,,,
Florida State,ACC (Atlantic),,,,,,,,,,,,,,
Syracuse,ACC (Atlantic),,,,,,,,,,,,,,
Miami (FL),ACC (Coastal),,,,,,,,,,,,,,
Virginia Tech,ACC (Coastal),,,,,,,,,,,,,,
Georgia Tech,ACC (Coastal),,,,,,,,,,,,,,
Duke,ACC (Coastal),,,,,,,,,,,,,,
Virginia,ACC (Coastal),,,,,,,,,,,,,,
Pitt,ACC (Coastal),,,,,,,,,,,,,,
North Carolina,ACC (Coastal),,,,,,,,,,,,,,
UCF,American (East),,,,,,,,,,,,,,
South Florida,American (East),,,,,,,,,,,,,,
Temple,American (East),,,,,,,,,,,,,,
Cincinnati,American (East),,,,,,,,,,,,,,
Connecticut,American (East),,,,,,,,,,,,,,
East Carolina,American (East),,,,,,,,,,,,,,
Memphis,American (West),,,,,,,,,,,,,,
Houston,American (West),,,,,,,,,,,,,,
Navy,American (West),,,,,,,,,,,,,,
SMU,American (West),,,,,,,,,,,,,,
Tulane,American (West),,,,,,,,,,,,,,
Tulsa,American (West),,,,,,,,,,,,,,
Oklahoma,Big 12,,,,,,,,,,,,,,
Texas Christian,Big 12,,,,,,,,,,,,,,
Oklahoma State,Big 12,,,,,,,,,,,,,,
Iowa State,Big 12,,,,,,,,,,,,,,
Kansas State,Big 12,,,,,,,,,,,,,,
Texas,Big 12,,,,,,,,,,,,,,
West Virginia,Big 12,,,,,,,,,,,,,,
Texas Tech,Big 12,,,,,,,,,,,,,,
Baylor,Big 12,,,,,,,,,,,,,,
Kansas,Big 12,,,,,,,,,,,,,,
Ohio State,Big Ten (East),,,,,,,,,,,,,,
Penn State,Big Ten (East),,,,,,,,,,,,,,
Michigan State,Big Ten (East),,,,,,,,,,,,,,
Michigan,Big Ten (East),,,,,,,,,,,,,,
Rutgers,Big Ten (East),,,,,,,,,,,,,,
Indiana,Big Ten (East),,,,,,,,,,,,,,
Maryland,Big Ten (East),,,,,,,,,,,,,,
Wisconsin,Big Ten (West),,,,,,,,,,,,,,
Northwestern,Big Ten (West),,,,,,,,,,,,,,
Iowa,Big Ten (West),,,,,,,,,,,,,,
Purdue,Big Ten (West),,,,,,,,,,,,,,
Nebraska,Big Ten (West),,,,,,,,,,,,,,
Minnesota,Big Ten (West),,,,,,,,,,,,,,
Illinois,Big Ten (West),,,,,,,,,,,,,,
Florida Atlantic,CUSA (East),,,,,,,,,,,,,,
Western Kentucky,CUSA (East),,,,,,,,,,,,,,
Florida International,CUSA (East),,,,,,,,,,,,,,
Marshall,CUSA (East),,,,,,,,,,,,,,
Middle Tennessee State,CUSA (East),,,,,,,,,,,,,,
Old Dominion,CUSA (East),,,,,,,,,,,,,,
Charlotte,CUSA (East),,,,,,,,,,,,,,
North Texas,CUSA (West),,,,,,,,,,,,,,
Southern Mississippi,CUSA (West),,,,,,,,,,,,,,
UAB,CUSA (West),,,,,,,,,,,,,,
Louisiana Tech,CUSA (West),,,,,,,,,,,,,,
UTSA,CUSA (West),,,,,,,,,,,,,,
Rice,CUSA (West),,,,,,,,,,,,,,
UTEP,CUSA (West),,,,,,,,,,,,,,
Massachusetts,Ind,,,,,,,,,,,,,,
Army,Ind,,,,,,,,,,,,,,
Notre Dame,Ind,,,,,,,,,,,,,,
BYU,Ind,,,,,,,,,,,,,,
Akron,MAC (East),,,,,,,,,,,,,,
Ohio,MAC (East),,,,,,,,,,,,,,
Buffalo,MAC (East),,,,,,,,,,,,,,
Miami (OH),MAC (East),,,,,,,,,,,,,,
Bowling Green,MAC (East),,,,,,,,,,,,,,
Kent State,MAC (East),,,,,,,,,,,,,,
Toledo,MAC (West),,,,,,,,,,,,,,
Central Michigan,MAC (West),,,,,,,,,,,,,,
Northern Illinois,MAC (West),,,,,,,,,,,,,,
Western Michigan,MAC (West),,,,,,,,,,,,,,
Eastern Michigan,MAC (West),,,,,,,,,,,,,,
Ball State,MAC (West),,,,,,,,,,,,,,
Boise State,MWC (Mountain),,,,,,,,,,,,,,
Wyoming,MWC (Mountain),,,,,,,,,,,,,,
Colorado State,MWC (Mountain),,,,,,,,,,,,,,
Utah State,MWC (Mountain),,,,,,,,,,,,,,
Air Force,MWC (Mountain),,,,,,,,,,,,,,
New Mexico,MWC (Mountain),,,,,,,,,,,,,,
Fresno State,MWC (West),,,,,,,,,,,,,,
San Diego State,MWC (West),,,,,,,,,,,,,,
Nevada-Las Vegas,MWC (West),,,,,,,,,,,,,,
Nevada,MWC (West),,,,,,,,,,,,,,
Hawaii,MWC (West),,,,,,,,,,,,,,
San Jose State,MWC (West),,,,,,,,,,,,,,
Washington,Pac-12 (North),,,,,,,,,,,,,,
Stanford,Pac-12 (North),,,,,,,,,,,,,,
Washington State,Pac-12 (North),,,,,,,,,,,,,,
Oregon,Pac-12 (North),,,,,,,,,,,,,,
California,Pac-12 (North),,,,,,,,,,,,,,
Oregon State,Pac-12 (North),,,,,,,,,,,,,,
USC,Pac-12 (South),,,,,,,,,,,,,,
Arizona State,Pac-12 (South),,,,,,,,,,,,,,
Arizona,Pac-12 (South),,,,,,,,,,,,,,
UCLA,Pac-12 (South),,,,,,,,,,,,,,
Utah,Pac-12 (South),,,,,,,,,,,,,,
Colorado,Pac-12 (South),,,,,,,,,,,,,,
Georgia,SEC (East),,,,,,,,,,,,,,
South Carolina,SEC (East),,,,,,,,,,,,,,
Kentucky,SEC (East),,,,,,,,,,,,,,
Missouri,SEC (East),,,,,,,,,,,,,,
Florida,SEC (East),,,,,,,,,,,,,,
Vanderbilt,SEC (East),,,,,,,,,,,,,,
Tennessee,SEC (East),,,,,,,,,,,,,,
Alabama,SEC (West),,,,,,,,,,,,,,
Auburn,SEC (West),,,,,,,,,,,,,,
LSU,SEC (West),,,,,,,,,,,,,,
Mississippi State,SEC (West),,,,,,,,,,,,,,
Texas A&M,SEC (West),,,,,,,,,,,,,,
Ole Miss,SEC (West),,,,,,,,,,,,,,
Arkansas,SEC (West),,,,,,,,,,,,,,
Appalachian State,Sun Belt,,,,,,,,,,,,,,
Coastal Carolina,Sun Belt,,,,,,,,,,,,,,
Georgia Southern,Sun Belt,,,,,,,,,,,,,,
Troy,Sun Belt,,,,,,,,,,,,,,
Arkansas State,Sun Belt,,,,,,,,,,,,,,
Georgia State,Sun Belt,,,,,,,,,,,,,,
New Mexico State,Sun Belt,,,,,,,,,,,,,,
Louisiana,Sun Belt,,,,,,,,,,,,,,
Louisiana-Monroe,Sun Belt,,,,,,,,,,,,,,
Idaho,Sun Belt,,,,,,,,,,,,,,
South Alabama,Sun Belt,,,,,,,,,,,,,,
Texas State,Sun Belt,,,,,,,,,,,,,,
